Slice,Count,Total Area,Average Size,%Area,Mean
Capture51_w1DAPI-1.TIF,55,41542,755.309,2.870,255
Capture51_w1DAPI-1.TIF,59,41496,703.322,2.866,255
Capture51_w1DAPI-1.TIF,57,38508,675.579,2.660,255
Capture51_w1DAPI-1.TIF,55,41896,761.745,2.894,255
Capture51_w1DAPI-1.TIF,55,41026,745.927,2.834,255
Capture51_w1DAPI-1.TIF,58,39291,677.431,2.714,255
Capture51_w1DAPI-1.TIF,55,41026,745.927,2.834,255
Capture51_w1DAPI-1.TIF,55,41293,750.782,2.852,255
Capture51_w1DAPI-1.TIF,60,41472,691.200,2.865,255
Capture51_w1DAPI-1.TIF,51,39436,773.255,2.724,255
Capture51_w1DAPI-1.TIF,58,39294,677.483,2.714,255
Capture51_w1DAPI-1.TIF,54,41632,770.963,2.876,255
Capture51_w1DAPI-1.TIF,56,39826,711.179,2.751,255
Capture51_w1DAPI-1.TIF,58,41844,721.448,2.890,255
Capture51_w1DAPI-1.TIF,60,40575,676.250,2.803,255
Capture51_w1DAPI-1.TIF,56,38787,692.625,2.679,255
Capture51_w1DAPI-1.TIF,63,41273,655.127,2.851,255
Capture51_w1DAPI-1.TIF,54,40569,751.278,2.802,255
Capture51_w1DAPI-1.TIF,55,41058,746.509,2.836,255
Capture51_w1DAPI-1.TIF,54,41930,776.481,2.896,255
Capture51_w1DAPI-1.TIF,55,41290,750.727,2.852,255
Capture51_w1DAPI-1.TIF,58,39440,680.000,2.724,255
Capture51_w1DAPI-1.TIF,51,39602,776.510,2.736,255
Capture51_w1DAPI-1.TIF,58,39027,672.879,2.696,255
Capture51_w1DAPI-1.TIF,51,40169,787.627,2.775,255
Capture51_w1DAPI-1.TIF,51,39205,768.725,2.708,255
Capture51_w1DAPI-1.TIF,55,41933,762.418,2.897,255
Capture51_w1DAPI-1.TIF,59,40666,689.254,2.809,255
Capture51_w1DAPI-1.TIF,54,40579,751.463,2.803,255
Capture51_w1DAPI-1.TIF,55,41873,761.327,2.892,255
